UserID,Order,PlaceID,OrderType,Rating,food_rating,service_rating,Upayment,Budget
1001,Bubble and Squeak,132825,Breakfast,2,2,1,cash,medium
1002,Breakfast Burritos,132825,Breakfast,2,2,0,cash,low
1003,Spanish Potato Omelet (Tortilla a la Espanola),132825,Breakfast,2,2,1,cash,low
1006,Scrambled Tofu on Toast,132825,Breakfast,1,1,1,cash,medium
1009,Baked Zucchini Frittatas,132825,Breakfast,1,1,0,cash,medium
1009,Zucchini Frittatas II,132825,Breakfast,1,1,0,cash,medium
1009,Yellow Squash Frittata,132825,Breakfast,1,1,0,cash,medium
1009,Basic Crepes II,132825,Breakfast,1,1,0,cash,medium
1009,Basic Crepes,132825,Breakfast,1,1,0,cash,medium
1009,Butter Crepes,132825,Breakfast,1,1,0,cash,medium
1009,Spicy Hash Browns - Homemade,132825,Breakfast,1,1,0,cash,medium
1029,Baked Breakfast Potatoes,132825,Breakfast,1,1,0,cash,low
1036,Bacon and Potato Pie,132825,Breakfast,2,2,2,cash,medium
1045,Country Brunch Skillet,132825,Breakfast,2,1,1,cash,high
1045,Austrian Sweet Cheese Crepes Baked in Custard,132825,Breakfast,2,1,1,cash,high
1045,Whole Grain Buttermilk Pancakes,132825,Breakfast,2,1,1,cash,high
1045,Homemade Pop-Tarts,132825,Breakfast,2,1,1,cash,high
1049,Spicy Bacon &amp; Tomato Brunch,132825,Breakfast,0,0,0,cash,high
1053,Breakfast Pizza II,132825,Breakfast,1,2,0,cash,low
1055,Potato Pancakes,132825,Breakfast,2,2,2,cash,medium
1056,Oatmeal Pancakes,132825,Breakfast,2,2,2,cash,medium
1057,Pig in the Blankets,132825,Breakfast,1,1,0,cash,medium
1057,Mc Donald's Pancakes,132825,Breakfast,1,1,0,VISA,medium
1059,Chicken Fritada,132825,Breakfast,2,1,1,cash,medium
1061,Philadelphia Scrapple,132825,Breakfast,1,2,1,cash,medium
1061,Brunch Eggs,132825,Breakfast,1,2,1,bank_debit_cards,medium
1062,Breakfast Souffle,132825,Breakfast,0,0,0,VISA,medium
1062,Hash Browns Casserole,132825,Breakfast,0,0,0,cash,medium
1071,Hash Browns Casserole II,132825,Breakfast,2,2,2,cash,high
1077,Baked French Toast,132825,Breakfast,2,2,2,VISA,medium
1077,Breakfast Frittata,132825,Breakfast,2,2,2,cash,medium
1077,French Toast,132825,Breakfast,2,2,2,bank_debit_cards,medium
1081,French Toast II,132825,Breakfast,1,0,1,cash,low
1085,Chocolate-Pistachio French Toast,132825,Breakfast,2,2,2,cash,high
1091,Breakfast Sausage Rolls,132825,Breakfast,0,1,1,cash,low
1091,Breakfast Pudding,132825,Breakfast,0,1,1,cash,low
1098,Low-Fat Breakfast Brulee,132825,Breakfast,1,1,1,cash,medium
1104,Breakfast Sausage Gravy,132825,Breakfast,1,2,1,VISA,medium
1104,South Carolina Scrapple,132825,Breakfast,1,2,1,cash,medium
1109,Blueberry Overnight French Toast,132825,Breakfast,2,2,2,cash,low
1114,Old-Fashioned Scrapple,132825,Breakfast,0,0,0,cash,medium
1116,Scrapple,132825,Breakfast,2,2,2,cash,medium
1116,Farm-Style Sausage Patties,132825,Breakfast,2,2,2,bank_debit_cards,medium
1116,Breakfast Sausage,132825,Breakfast,2,2,2,VISA,medium
1132,Tomato Scrapple,132825,Breakfast,2,2,2,cash,high
1134,Potato Pancakes II,132825,Breakfast,1,2,1,cash,medium
